Day,Time of the day,Number of priority Evs,served (%) by Uncontrolled,served (%) by RR,served (%) by LLF,served (%) by MPC_AdaptiveQueue
1,7:00 AM - 9:59 AM,3,100,97,97,100
1,10:00 AM - 12:59 PM,4,100,97.2,97.5,100
1,1:00 PM - 3:59 PM,2,100,96.2,97,100
1,4:00 PM - 7:00 PM,2,100,97,96,100
2,7:00 AM - 9:59 AM,2,100,98,100,100
2,10:00 AM - 12:59 PM,4,100,95.2,95,100
2,1:00 PM - 3:59 PM,3,100,96,96,100
2,4:00 PM - 7:00 PM,2,100,99,98,100
3,7:00 AM - 9:59 AM,1,100,100,100,100
3,10:00 AM - 12:59 PM,3,100,97,96.5,100
3,1:00 PM - 3:59 PM,4,100,96,96,100
3,4:00 PM - 7:00 PM,2,100,98,98,100
4,7:00 AM - 9:59 AM,2,100,98,99,100
4,10:00 AM - 12:59 PM,2,100,99,99,100
4,1:00 PM - 3:59 PM,4,100,96,96.5,100
4,4:00 PM - 7:00 PM,2,100,97,97,100
5,7:00 AM - 9:59 AM,2,100,99,99,100
5,10:00 AM - 12:59 PM,3,100,97,97,100
5,1:00 PM - 3:59 PM,3,100,96,97,100
5,4:00 PM - 7:00 PM,2,100,98,98,100
